Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-base.json	45339	-	0	0	0	0	0	0	24	58	0	0	0	0	0	0	0	2	0	0	31	275	382	0	0	0	10	0	7
fsh-generated/resources/AllergyIntolerance-mii-exa-person-allergyintolerance-1.json	1362	4	0	0	0	0	0	0	0	492	0	0	0	0	0	0	0	0	0	0	7	16	32	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-base-test-data-bundle-1.json	70418	16	35	0	2	0	0	0	4	2503	0	0	0	0	0	0	0	1	0	0	14	198	283	0	0	0	0	0	1
fsh-generated/resources/CapabilityStatement-mii-cps-diagnose-capabilitystatement.json	26931	5	0	0	0	0	0	0	1	63	0	0	0	0	0	0	0	0	0	0	7	122	77	0	1	0	2	0	1
fsh-generated/resources/CapabilityStatement-mii-cps-fall-capabilitystatement.json	22222	4	0	0	0	0	0	0	1	30	0	0	0	0	0	0	0	0	0	0	7	107	43	0	0	0	2	0	1
fsh-generated/resources/CapabilityStatement-mii-cps-person-capabilitystatement.json	52426	5	0	0	0	0	0	0	2	62	0	0	0	0	0	0	0	0	0	0	8	206	73	0	0	0	4	0	0
fsh-generated/resources/CapabilityStatement-mii-cps-prozedur-capabilitystatement.json	18275	2	0	0	0	0	0	0	1	20	0	0	0	0	0	0	0	0	0	0	6	71	29	0	1	0	2	0	1
fsh-generated/resources/CodeSystem-mii-cs-diagnose-lebensphase-supplement-snomed.json	7288	2	0	0	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	6	27	128	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-fall-supplement-act-encounter-code.json	5619	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	19	83	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-fall-supplement-patient-class.json	5257	2	0	0	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	0	6	17	73	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-person-vitalstatus.json	6070	2	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	6	21	75	0	0	0	1	0	0
fsh-generated/resources/Condition-mii-exa-diagnose-appendicitis.json	2036	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	6	13	19	0	0	0	0	0	0
fsh-generated/resources/Condition-mii-exa-diagnose-condition-elbow-contusion.json	2062	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	6	12	17	0	0	0	0	0	0
fsh-generated/resources/Condition-mii-exa-diagnose-condition-multiple-codings.json	2239	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	6	14	17	0	0	0	0	0	0
fsh-generated/resources/Condition-mii-exa-diagnose-mehrfachcodierung-primaercode.json	2850	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	13	20	0	0	0	0	0	0
fsh-generated/resources/Condition-mii-exa-diagnose-mehrfachcodierung-sekundaercode.json	2295	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	12	19	0	0	0	0	0	0
fsh-generated/resources/Condition-mii-exa-person-condition-todesursache.json	1426	1	0	0	0	0	0	0	0	1982	0	0	0	0	0	0	0	0	0	0	5	9	12	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-gesundheitseinrichtung-1.json	3104	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	14	17	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-gesundheitseinrichtung-10.json	2575	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	5	13	16	0	0	0	0	0	1
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-gesundheitseinrichtung-11.json	2544	2	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	5	14	16	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-gesundheitseinrichtung-2.json	3359	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	6	17	22	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-gesundheitseinrichtung-3.json	2085	2	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	12	14	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-gesundheitseinrichtung-4.json	2568	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	14	16	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-gesundheitseinrichtung-5.json	2711	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	5	15	17	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-gesundheitseinrichtung-6.json	2568	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	15	16	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-gesundheitseinrichtung-7.json	3429	2	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	5	17	22	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-gesundheitseinrichtung-8.json	1698	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	10	13	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-gesundheitseinrichtung-9.json	2702	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	14	17	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-in-progress-status.json	1658	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	10	14	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-onleave-status.json	1246	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	9	14	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-unknown-status.json	1246	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	8	12	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-person-observation-vitalstatus-discharge.json	1793	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	11	15	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-person-observation-vitalstatus.json	1727	1	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	5	12	17	0	0	1	0	0	0
fsh-generated/resources/Patient-mii-exa-person-patient-1.json	3266	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	4	13	17	0	0	0	0	0	0
fsh-generated/resources/Patient-mii-exa-person-patient-pseudonymisiert.json	2079	1	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	5	10	13	0	0	0	0	0	0
fsh-generated/resources/Procedure-mii-exa-prozedur-imaging.json	2196	2	0	0	0	0	0	0	0	789	0	0	0	0	0	0	0	0	0	0	4	16	18	0	0	0	0	0	0
fsh-generated/resources/Procedure-mii-exa-prozedur-procedure-2.json	2191	1	0	0	0	0	1	0	0	787	0	0	0	0	0	0	0	0	0	0	4	12	18	0	0	0	0	0	0
fsh-generated/resources/Procedure-mii-exa-prozedur-procedure.json	2229	2	0	0	0	0	0	0	0	388	0	0	0	0	0	0	0	0	0	0	4	13	16	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-mii-ex-prozedur-durchfuehrungsabsicht.json	7209	2	0	32	0	0	0	0	0	65	0	0	1	0	0	0	0	0	0	0	1	95	759	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-mii-lm-diagnose.json	23701	3	0	49	0	0	0	0	0	57	0	0	0	0	0	0	0	1	0	0	3	324	909	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-mii-lm-fall.json	27185	3	0	32	0	0	0	0	0	40	0	0	1	0	0	0	0	0	0	0	2	294	618	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-mii-lm-person.json	79711	7	0	103	0	0	0	0	0	97	0	0	1	0	0	0	0	1	0	0	5	817	1178	0	0	0	16	0	3
fsh-generated/resources/StructureDefinition-mii-lm-prozedur.json	13245	3	0	23	0	0	0	0	0	18	0	0	1	0	0	0	0	0	0	0	2	142	342	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-mii-pr-diagnose-condition.json	56675	7	0	244	0	0	0	0	1	227	0	0	1	0	0	0	0	3	0	0	2	1327	30162	0	0	0	25	1	4
fsh-generated/resources/StructureDefinition-mii-pr-fall-kontakt-gesundheitseinrichtung.json	78362	8	0	376	0	0	0	0	0	236	0	0	1	0	0	0	0	3	0	0	3	1622	2783	0	0	0	38	0	5
fsh-generated/resources/StructureDefinition-mii-pr-person-allergieunvertraeglichkeit.json	31824	5	0	143	0	0	0	0	0	79	0	0	1	0	0	0	0	1	0	0	1	613	1026	0	0	0	14	0	2
fsh-generated/resources/StructureDefinition-mii-pr-person-patient-pseudonymisiert.json	36291	5	0	145	1	0	0	0	0	100	0	0	1	0	0	0	0	1	0	0	1	772	1171	0	0	0	20	0	3
