Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-base.json	35044	-	0	1	0	0	0	0	23	117	0	0	0	0	0	0	0	1	0	0	31	219	367	0	0	0	8	0	4
fsh-generated/resources/Bundle-mii-exa-base-test-data-bundle-1.json	56484	15	46	0	0	0	0	0	8	4424	0	0	0	0	0	0	0	1	0	0	12	180	383	0	1	1	0	0	0
fsh-generated/resources/CapabilityStatement-mii-cps-diagnose-capabilitystatement.json	14443	4	0	0	0	0	0	0	2	58	0	0	0	0	0	0	0	0	0	0	4	80	61	0	0	0	2	0	0
fsh-generated/resources/CapabilityStatement-mii-cps-fall-capabilitystatement.json	10533	3	0	0	1	0	0	0	1	35	0	0	0	0	0	0	0	0	0	0	4	65	39	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-mii-cps-person-capabilitystatement.json	23382	5	0	0	0	0	0	0	3	43	0	0	0	0	0	0	0	0	0	0	4	115	53	0	0	0	2	0	1
fsh-generated/resources/CapabilityStatement-mii-cps-prozedur-capabilitystatement.json	9128	3	0	0	0	0	0	0	1	19	0	0	0	0	0	0	0	0	0	0	3	58	32	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-diagnose-lebensphase-supplement-snomed.json	3690	3	0	0	0	0	1	0	1	10	0	0	0	0	0	0	0	0	0	0	3	36	571	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-fall-supplement-act-encounter-code.json	2010	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	25	102	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-fall-supplement-patient-class.json	1652	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	23	90	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-person-vitalstatus.json	1936	3	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	2	26	83	0	0	0	1	0	0
fsh-generated/resources/Condition-mii-exa-diagnose-appendicitis.json	1519	4	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	2	25	35	0	0	0	0	0	0
fsh-generated/resources/Condition-mii-exa-diagnose-condition-elbow-contusion.json	1545	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	25	29	0	0	0	0	0	0
fsh-generated/resources/Condition-mii-exa-diagnose-condition-multiple-codings.json	1722	5	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	23	31	0	0	0	0	0	0
fsh-generated/resources/Condition-mii-exa-diagnose-mehrfachcodierung-primaercode.json	2333	5	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	2	24	30	0	0	0	0	0	0
fsh-generated/resources/Condition-mii-exa-diagnose-mehrfachcodierung-sekundaercode.json	1778	6	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	2	17	63	0	0	0	0	0	0
fsh-generated/resources/Condition-mii-exa-person-condition-todesursache.json	909	4	0	0	0	0	0	0	0	2505	0	0	0	0	0	0	0	0	0	0	2	13	22	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-gesundheitseinrichtung-1.json	2587	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	18	30	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-gesundheitseinrichtung-10.json	2058	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	18	29	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-gesundheitseinrichtung-11.json	2027	5	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	2	20	29	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-gesundheitseinrichtung-2.json	2842	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	2	21	37	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-gesundheitseinrichtung-3.json	1568	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	14	25	0	0	0	0	0	1
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-gesundheitseinrichtung-4.json	2051	4	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	2	18	28	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-gesundheitseinrichtung-5.json	2194	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	22	29	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-gesundheitseinrichtung-6.json	2051	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	19	20	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-gesundheitseinrichtung-7.json	2912	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	28	36	0	0	0	0	0	0
