Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-base.json	35433	-	0	0	0	0	0	0	22	77	0	0	0	0	0	0	0	0	0	0	32	229	380	0	0	0	7	0	4
fsh-generated/resources/Bundle-mii-exa-base-test-data-bundle-1.json	56358	22	36	0	0	0	0	0	6	5310	0	0	0	0	0	0	0	1	0	0	15	152	457	0	0	0	0	0	1
fsh-generated/resources/CapabilityStatement-mii-cps-diagnose-capabilitystatement.json	14431	5	0	0	0	0	0	0	2	50	0	0	0	0	0	0	0	0	0	0	5	57	111	0	0	0	2	0	0
fsh-generated/resources/CapabilityStatement-mii-cps-fall-capabilitystatement.json	10521	6	0	0	0	0	0	0	1	37	0	0	0	0	0	0	0	0	0	0	5	47	91	0	0	0	2	0	0
fsh-generated/resources/CapabilityStatement-mii-cps-person-capabilitystatement.json	23352	6	0	0	0	0	0	0	3	49	0	0	0	0	0	0	0	0	0	0	4	82	107	0	1	0	2	0	1
fsh-generated/resources/CapabilityStatement-mii-cps-prozedur-capabilitystatement.json	9116	5	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	3	42	51	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-diagnose-lebensphase-supplement-snomed.json	3684	4	0	0	1	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	4	25	619	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-fall-supplement-act-encounter-code.json	2004	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	4	19	111	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-fall-supplement-patient-class.json	1646	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	4	16	91	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-person-vitalstatus.json	1930	4	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	1	0	0	4	19	89	0	0	0	0	0	0
fsh-generated/resources/Condition-mii-exa-diagnose-appendicitis.json	1513	4	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	3	16	35	0	0	0	0	0	0
fsh-generated/resources/Condition-mii-exa-diagnose-condition-elbow-contusion.json	1539	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	16	30	0	0	0	0	0	0
fsh-generated/resources/Condition-mii-exa-diagnose-condition-multiple-codings.json	1716	4	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	2	17	32	0	0	0	0	0	0
fsh-generated/resources/Condition-mii-exa-diagnose-mehrfachcodierung-primaercode.json	2327	4	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	1	21	41	0	0	0	0	0	0
fsh-generated/resources/Condition-mii-exa-diagnose-mehrfachcodierung-sekundaercode.json	1772	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	18	34	0	0	1	0	0	0
fsh-generated/resources/Condition-mii-exa-person-condition-todesursache.json	903	3	0	0	0	0	0	0	0	3142	0	0	0	0	0	0	0	0	0	0	2	14	25	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-gesundheitseinrichtung-1.json	2581	5	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	2	20	31	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-gesundheitseinrichtung-10.json	2052	4	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	20	34	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-gesundheitseinrichtung-11.json	2021	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	19	67	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-gesundheitseinrichtung-2.json	2836	4	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	2	23	38	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-gesundheitseinrichtung-3.json	1562	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	15	27	0	0	0	0	0	1
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-gesundheitseinrichtung-4.json	2045	4	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	2	19	34	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-gesundheitseinrichtung-5.json	2188	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	37	30	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-gesundheitseinrichtung-6.json	2045	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	18	26	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-gesundheitseinrichtung-7.json	2906	4	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	2	20	25	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-gesundheitseinrichtung-8.json	1175	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	13	16	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-gesundheitseinrichtung-9.json	2179	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	16	20	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-in-progress-status.json	1135	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	13	19	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-onleave-status.json	723	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	12	16	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-fall-kontakt-unknown-status.json	723	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	12	17	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-person-observation-vitalstatus-discharge.json	1270	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	2	14	17	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-person-observation-vitalstatus.json	1204	2	0	0	0	0	0	0	0	812	0	0	0	0	0	0	0	0	0	0	1	14	16	0	0	0	0	0	0
fsh-generated/resources/Patient-mii-exa-person-patient-1.json	2743	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	17	16	0	0	0	0	0	0
fsh-generated/resources/Patient-mii-exa-person-patient-pseudonymisiert.json	1556	2	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	4	14	15	0	0	0	0	0	0
fsh-generated/resources/Procedure-mii-exa-prozedur-imaging.json	1673	3	0	0	0	0	0	0	1	1617	0	0	0	0	0	0	0	0	0	0	4	17	19	0	0	0	0	0	0
fsh-generated/resources/Procedure-mii-exa-prozedur-procedure-2.json	1668	2	0	0	0	0	0	0	0	1584	0	0	0	0	0	0	0	0	0	0	3	15	17	0	0	0	0	0	0
fsh-generated/resources/Procedure-mii-exa-prozedur-procedure.json	1706	3	0	0	0	0	0	0	0	812	0	0	0	0	0	0	0	0	0	0	3	14	17	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-mii-ex-fall-planned-end-date.json	2140	2	0	12	0	0	0	0	0	50	0	0	1	0	0	0	0	0	0	0	1	56	697	0	0	0	2	1	0
fsh-generated/resources/StructureDefinition-mii-ex-fall-planned-start-date.json	2156	2	0	17	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	53	347	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-mii-ex-prozedur-durchfuehrungsabsicht.json	2568	3	0	26	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	79	299	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-mii-lm-diagnose.json	18307	3	0	49	0	0	0	0	0	58	0	0	0	0	0	0	0	1	0	0	3	272	1304	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-mii-lm-fall.json	19539	3	0	34	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	4	250	778	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-mii-lm-person.json	48597	5	0	45	0	0	0	0	1	62	0	0	0	0	0	0	0	2	0	0	4	494	1341	0	0	0	14	0	2
fsh-generated/resources/StructureDefinition-mii-lm-prozedur.json	7577	2	0	21	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	1	155	416	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-mii-pr-diagnose-condition.json	45184	5	0	122	0	0	0	0	0	115	0	0	1	0	0	0	0	3	0	0	2	823	44590	0	0	0	22	0	3
fsh-generated/resources/StructureDefinition-mii-pr-fall-kontakt-gesundheitseinrichtung.json	62908	6	0	137	0	0	0	0	0	127	0	0	0	0	0	0	0	3	0	0	3	1033	2776	0	1	0	29	1	3
fsh-generated/resources/StructureDefinition-mii-pr-person-patient-pseudonymisiert.json	28632	4	0	85	0	0	0	0	0	54	0	0	0	0	0	0	0	2	0	0	1	580	1708	0	0	0	23	0	2
fsh-generated/resources/StructureDefinition-mii-pr-person-patient.json	48468	5	0	115	0	0	0	0	0	143	0	0	0	0	0	0	0	3	0	0	2	1108	2312	0	0	0	50	0	4
fsh-generated/resources/StructureDefinition-mii-pr-person-proband.json	3655	3	1	44	0	0	0	0	0	17	0	0	1	0	0	0	0	1	0	0	0	208	417	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-mii-pr-person-todesursache.json	20469	3	0	128	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	1	391	7840	0	0	0	17	1	2
fsh-generated/resources/StructureDefinition-mii-pr-person-vitalstatus.json	20684	3	0	63	0	0	0	0	0	32	0	0	0	0	0	0	0	1	0	0	1	398	1960	0	0	0	19	0	1
